Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output CGST @ 9%,Output SGST @ 9%,Round Off,Output CGST @ 6%,Output SGST @ 6%,Output CGST @ 2.5%,Output SGST @ 2.5%,Output IGST @ 12%,Shipping Local GST @ 18%,Output IGST @ 18%,Output IGST @ 5%,Shipping Local GST @ 12%,Shipping Interstate GST @ 12%,Local GST Sales @ 5%,Local GST Sales @ 12%,Local GST Sales @ 18%,Interstate GST Sales @ 5%,Interstate GST Sales @ 12%,Interstate GST Sales @ 18%
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,2 Pr,1484.75/Pr,2969.50,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - Black,,,,2 Pr,1484.75/Pr,2969.50,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - Black,,,,2 Pr,1484.75/Pr,2969.50,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 UK) - Black,,,,1 Pr,1484.75/Pr,1484.75,,,,,,,,,,,,,,,,,,,,,
23-May-25,Mr. Soman,PSB25-26/INV-352,PSB25-26/INV-352,Being Sale of Goods - Accounted,9 Pr,,13495.50,15925.00 Dr,13495.50 Cr,1214.61 Cr,1214.61 Cr,0.28 Cr,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - Black,,,,1 Pr,1499.50/Pr,1499.50,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 08 US) - Black,,,,2 Pr,1499.50/Pr,2999.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 US) - Black,,,,3 Pr,1499.50/Pr,4498.50,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 US) - Black,,,,3 Pr,1499.50/Pr,4498.50,,,,,,,,,,,,,,,,,,,,,
23-May-25,Mr. Soman,PSB25-26/INV-353,PSB25-26/INV-353,Being Sale of Goods - Accounted,200 Pr,,11166.00,11802.00 Dr,11166.00 Cr,,,0.42 Dr,66.96 Cr,66.96 Cr,251.25 Cr,251.25 Cr,,,,,,,,,,,,
,VPS Black Crew Length Socks (P/1) - M,,,,50 Pr,67.00/Pr,3350.00,,,,,,,,,,,,,,,,,,,,,
,VPS Black Crew Length Socks (P/1) - L,,,,50 Pr,67.00/Pr,3350.00,,,,,,,,,,,,,,,,,,,,,
,VPS Black Crew Length Socks (P/1) - XL,,,,50 Pr,67.00/Pr,3350.00,,,,,,,,,,,,,,,,,,,,,
,Laces,,,,50 Pr,22.32/Pr,1116.00,,,,,,,,,,,,,,,,,,,,,
23-May-25,The Landmark School,PSB25-26/INV-354,PSB25-26/INV-354,Being Sale of Goods - Accounted,190 Pr,,239321.71,282400.00 Dr,239321.71 Cr,21538.97 Cr,21538.97 Cr,0.35 Cr,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08C) - Black,,,,2 Pr,1083.90/Pr,2167.80,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09C) - Black,,,,3 Pr,1083.90/Pr,3251.70,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 C) - Black,,,,7 Pr,1083.90/Pr,7587.30,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Black,,,,5 Pr,1083.90/Pr,5419.50,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,10 Pr,1083.90/Pr,10839.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,36 Pr,1083.90/Pr,39020.40,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,21 Pr,1355.08/Pr,28456.68,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,10 Pr,1355.08/Pr,13550.80,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,15 Pr,1355.08/Pr,20326.20,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,11 Pr,1355.08/Pr,14905.88,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,8 Pr,1465.25/Pr,11722.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,3 Pr,1465.25/Pr,4395.75,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,8 Pr,1465.25/Pr,11722.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - White,,,,2 Pr,1083.90/Pr,2167.80,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - White,,,,21 Pr,1083.90/Pr,22761.90,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - White,,,,8 Pr,1465.25/Pr,11722.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - White,,,,3 Pr,1465.25/Pr,4395.75,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - White,,,,7 Pr,1465.25/Pr,10256.75,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - White,,,,8 Pr,1465.25/Pr,11722.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - White,,,,2 Pr,1465.25/Pr,2930.50,,,,,,,,,,,,,,,,,,,,,
23-May-25,The Landmark School,PSB25-26/INV-355,PSB25-26/INV-355,Being Sale of Goods - Accounted,18 Pr,,26374.50,31122.00 Dr,26374.50 Cr,2373.71 Cr,2373.71 Cr,0.08 Cr,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,8 Pr,1465.25/Pr,11722.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,8 Pr,1465.25/Pr,11722.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - Black,,,,2 Pr,1465.25/Pr,2930.50,,,,,,,,,,,,,,,,,,,,,
23-May-25,"Lighthouse Learning Pvt Ltd.,",PSB25-26/INV-356,PSB25-26/INV-356,Being Sale of Goods - Accounted,73 Pr,,80559.00,92842.00 Dr,80559.00 Cr,,,0.16 Cr,,,,,4435.56 Cr,,7847.28 Cr,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 C) - Grey / Blue,,,,6 Pr,999.00/Pr,5994.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 C) - Grey / Blue,,,,10 Pr,999.00/Pr,9990.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Grey / Blue,,,,8 Pr,999.00/Pr,7992.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Grey / Blue,,,,3 Pr,999.00/Pr,2997.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Grey / Blue,,,,10 Pr,999.00/Pr,9990.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Grey / Blue,,,,18 Pr,1211.00/Pr,21798.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Grey / Blue,,,,18 Pr,1211.00/Pr,21798.00,,,,,,,,,,,,,,,,,,,,,
23-May-25,Dhrithi Sudesh,PSB25-26/INV-357,PSB25-26/INV-357,,,,20.00,21.00 Dr,20.00 Cr,,,0.22 Dr,0.12 Cr,0.12 Cr,0.49 Cr,0.49 Cr,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 08 US) - Black,,,,1 Pr,1.00/Pr,1.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - Black,,,,1 Pr,1.00/Pr,1.00,,,,,,,,,,,,,,,,,,,,,
,Kumaran Blue Melange Semi Crew Socks (P/1) - L,,,,3 Pr,1.00/Pr,3.00,,,,,,,,,,,,,,,,,,,,,
,Kumaran Blue Melange Semi Crew Socks (P/1) - XL,,,,3 Pr,1.00/Pr,3.00,,,,,,,,,,,,,,,,,,,,,
,Kumaran White Semi Crew Socks (P/1) - L,,,,2 Pr,1.00/Pr,2.00,,,,,,,,,,,,,,,,,,,,,
,Kumaran White Semi Crew Socks (P/1) - XL,,,,2 Pr,1.00/Pr,2.00,,,,,,,,,,,,,,,,,,,,,
,Kumaran ICSE Full Sleeve Sweater - Grey - 28,,,,1 Pcs,1.00/Pcs,1.00,,,,,,,,,,,,,,,,,,,,,
,Kumaran ICSE Half Sleeve Sweater - Grey - 28,,,,1 Pcs,1.00/Pcs,1.00,,,,,,,,,,,,,,,,,,,,,
,Kumaran Yoga Track Pant - Black (Size 30),,,,1 Pcs,1.00/Pcs,1.00,,,,,,,,,,,,,,,,,,,,,
,Kumaran ICSE Full Sleeve Sweater - Grey - 34,,,,1 Pcs,1.00/Pcs,1.00,,,,,,,,,,,,,,,,,,,,,
,Kumaran ICSE Half Sleeve Sweater - Grey - 34,,,,1 Pcs,1.00/Pcs,1.00,,,,,,,,,,,,,,,,,,,,,
,Kumaran Yoga Track Pant - Black (Size 32),,,,1 Pcs,1.00/Pcs,1.00,,,,,,,,,,,,,,,,,,,,,
,Kumaran Boys Swim Wear (Jammer),,,,2 Pcs,1.00/Pcs,2.00,,,,,,,,,,,,,,,,,,,,,
23-May-25,SAI ANUGRAHA TRADERS,PSB25-26/INV-358,PSB25-26/INV-358,Being Sale of Goods - Accounted,190 Pr,,174150.00,195777.00 Dr,174150.00 Cr,,,,,,,,19440.00 Cr,,2187.00 Cr,,,,,,,,,
,Plaeto Nova School Shoes (Size 09C) - Black,,,,40 Pr,900.00/Pr,36000.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 C) - Black,,,,50 Pr,900.00/Pr,45000.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Black,,,,50 Pr,900.00/Pr,45000.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,20 Pr,900.00/Pr,18000.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,20 Pr,900.00/Pr,18000.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,5 Pr,1215.00/Pr,6075.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,5 Pr,1215.00/Pr,6075.00,,,,,,,,,,,,,,,,,,,,,
23-May-25,RAKHRA THE SPORTS HOUSE,PSB25-26/INV-359,PSB25-26/INV-359,Being Sale of Goods - Accounted,18 Pr,,14632.00,16388.00 Dr,14632.00 Cr,,,0.16 Cr,877.92 Cr,877.92 Cr,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 C) - Black,,,,1 Pr,684.00/Pr,684.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 C) - Black,,,,1 Pr,684.00/Pr,684.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 C) - Black,,,,1 Pr,684.00/Pr,684.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,1 Pr,684.00/Pr,684.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,1 Pr,684.00/Pr,684.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,1 Pr,684.00/Pr,684.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,1 Pr,842.00/Pr,842.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,1 Pr,842.00/Pr,842.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,1 Pr,842.00/Pr,842.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,1 Pr,842.00/Pr,842.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,1 Pr,895.00/Pr,895.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,1 Pr,895.00/Pr,895.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,1 Pr,895.00/Pr,895.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,1 Pr,895.00/Pr,895.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - Black,,,,1 Pr,895.00/Pr,895.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 UK) - Black,,,,1 Pr,895.00/Pr,895.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 UK) - Black,,,,1 Pr,895.00/Pr,895.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 UK) - Black,,,,1 Pr,895.00/Pr,895.00,,,,,,,,,,,,,,,,,,,,,
24-May-25,Gubbacci Apparel Pvt Ltd,PSB25-26/INV-360,PSB25-26/INV-360,Being Sale of Goods - Accounted,846 Pr,,579849.31,649431.00 Dr,579849.31 Cr,,,0.25 Dr,34790.97 Cr,34790.97 Cr,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 08 K) - Black,,,,1 Pr,654.46/Pr,654.46,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 09 K) - Black,,,,3 Pr,654.46/Pr,1963.38,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 10 K) - Black,,,,3 Pr,654.46/Pr,1963.38,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 11 K) - Black,,,,2 Pr,654.46/Pr,1308.92,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 12 K) - Black,,,,3 Pr,654.46/Pr,1963.38,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 13 K) - Black,,,,4 Pr,654.46/Pr,2617.84,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 01 UK) - Black,,,,5 Pr,654.46/Pr,3272.30,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 02 UK) - Black,,,,5 Pr,654.46/Pr,3272.30,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 03 UK) - Black,,,,25 Pr,654.46/Pr,16361.50,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 04 UK) - Black,,,,5 Pr,654.46/Pr,3272.30,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 05 UK) - Black,,,,75 Pr,654.46/Pr,49084.50,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 06 UK) - Black,,,,65 Pr,691.07/Pr,44919.55,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 07 UK) - Black,,,,120 Pr,691.07/Pr,82928.40,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 08 UK) - Black,,,,180 Pr,691.07/Pr,124392.60,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 09 UK) - Black,,,,140 Pr,691.07/Pr,96749.80,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 10 UK) - Black,,,,80 Pr,691.07/Pr,55285.60,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 11 UK) - Black,,,,80 Pr,691.07/Pr,55285.60,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 12 UK) - Black,,,,50 Pr,691.07/Pr,34553.50,,,,,,,,,,,,,,,,,,,,,
24-May-25,D S APPARELS,PSB25-26/INV-361,PSB25-26/INV-361,Being Sale of Goods - Accounted,99 Pr,,83536.64,93561.00 Dr,83536.64 Cr,,,0.06 Dr,5012.21 Cr,5012.21 Cr,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 C) - Black,,,,1 Pr,695.54/Pr,695.54,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 C) - Black,,,,2 Pr,695.54/Pr,1391.08,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,8 Pr,695.54/Pr,5564.32,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,12 Pr,695.54/Pr,8346.48,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,8 Pr,856.25/Pr,6850.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,2 Pr,856.25/Pr,1712.50,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,10 Pr,856.25/Pr,8562.50,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,10 Pr,856.25/Pr,8562.50,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,6 Pr,909.82/Pr,5458.92,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,8 Pr,909.82/Pr,7278.56,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,6 Pr,909.82/Pr,5458.92,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,5 Pr,909.82/Pr,4549.10,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - Black,,,,14 Pr,909.82/Pr,12737.48,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 UK) - Black,,,,4 Pr,909.82/Pr,3639.28,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 UK) - Black,,,,2 Pr,909.82/Pr,1819.64,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - White,,,,1 Pr,909.82/Pr,909.82,,,,,,,,,,,,,,,,,,,,,
24-May-25,Radcliffe Education Pvt Ltd (M),PSB25-26/INV-362,PSB25-26/INV-362,Being Sale of Goods - Accounted,2 Pr,,1321.42,1480.00 Dr,1321.42 Cr,,,,,,,,158.58 Cr,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,
24-May-25,Radcliffe Education Pvt Ltd (M),PSB25-26/INV-363,PSB25-26/INV-363,Being Sale of Goods - Accounted,1 Pr,,660.71,740.00 Dr,660.71 Cr,,,,,,,,79.29 Cr,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,
24-May-25,Radcliffe Education Pvt Ltd (M),PSB25-26/INV-364,PSB25-26/INV-364,Being Sale of Goods - Accounted,67 Pr,,51698.11,57902.00 Dr,51698.11 Cr,,,0.11 Cr,,,,,6203.78 Cr,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 C) - Black,,,,2 Pr,660.71/Pr,1321.42,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 C) - Black,,,,3 Pr,660.71/Pr,1982.13,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,3 Pr,660.71/Pr,1982.13,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,13 Pr,660.71/Pr,8589.23,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,9 Pr,813.39/Pr,7320.51,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,8 Pr,813.39/Pr,6507.12,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,4 Pr,813.39/Pr,3253.56,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,5 Pr,813.39/Pr,4066.95,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,8 Pr,864.29/Pr,6914.32,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,3 Pr,864.29/Pr,2592.87,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,4 Pr,864.29/Pr,3457.16,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,
24-May-25,Radcliffe Education Pvt Ltd (M),PSB25-26/INV-365,PSB25-26/INV-365,Being Sale of Goods - Accounted,5 Pr,,3812.49,4270.00 Dr,3812.49 Cr,,,0.01 Cr,,,,,457.50 Cr,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,2 Pr,813.39/Pr,1626.78,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,
24-May-25,Radcliffe Education Pvt Ltd (M),PSB25-26/INV-366,PSB25-26/INV-366,Being Sale of Goods - Accounted,6 Pr,,4524.10,5067.00 Dr,4524.10 Cr,,,0.01 Cr,,,,,542.89 Cr,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,2 Pr,660.71/Pr,1321.42,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,1 Pr,813.39/Pr,813.39,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,
24-May-25,Radcliffe Education Pvt Ltd (M),PSB25-26/INV-367,PSB25-26/INV-367,Being Sale of Goods - Accounted,8 Pr,,5845.52,6547.00 Dr,5845.52 Cr,,,0.01 Cr,,,,,701.47 Cr,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 C) - Black,,,,3 Pr,660.71/Pr,1982.13,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,1 Pr,813.39/Pr,813.39,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,
24-May-25,Radcliffe Education Pvt Ltd (M),PSB25-26/INV-368,PSB25-26/INV-368,Being Sale of Goods - Accounted,11 Pr,,8540.17,9565.00 Dr,8540.17 Cr,,,0.01 Cr,,,,,1024.82 Cr,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 C) - Black,,,,2 Pr,660.71/Pr,1321.42,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,1 Pr,813.39/Pr,813.39,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,2 Pr,813.39/Pr,1626.78,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,2 Pr,864.29/Pr,1728.58,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,
24-May-25,Radcliffe Education Pvt Ltd (M),PSB25-26/INV-369,PSB25-26/INV-369,Being Sale of Goods - Accounted,4 Pr,,2642.84,2960.00 Dr,2642.84 Cr,,,0.01 Cr,,,,,317.15 Cr,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,2 Pr,660.71/Pr,1321.42,,,,,,,,,,,,,,,,,,,,,
24-May-25,Radcliffe Education Pvt Ltd (M),PSB25-26/INV-370,PSB25-26/INV-370,Being Sale of Goods - Accounted,3 Pr,,2287.49,2562.00 Dr,2287.49 Cr,,,,,,,,274.51 Cr,,,,,,,,,,,
