Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output CGST @ 9%,Output SGST @ 9%,Round Off,Output CGST @ 6%,Output SGST @ 6%,Output CGST @ 2.5%,Output SGST @ 2.5%,Output IGST @ 12%,Shipping Local GST @ 18%,Output IGST @ 18%,Output IGST @ 5%,Shipping Local GST @ 12%,Shipping Interstate GST @ 12%,Local GST Sales @ 5%,Local GST Sales @ 12%,Local GST Sales @ 18%,Interstate GST Sales @ 5%,Interstate GST Sales @ 12%,Interstate GST Sales @ 18%
02-May-25,R M SURESH & CO,PSB25-26/INV-213,PSB25-26/INV-213,Being Sale of Goods - Accounted,25 Pr,,21602.50,24195.00 Dr,21602.50 Cr,,,0.20 Cr,1296.15 Cr,1296.15 Cr,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 C) - Black,,,,1 Pr,714.50/Pr,714.50,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 C) - Black,,,,2 Pr,714.50/Pr,1429.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 C) - Black,,,,2 Pr,714.50/Pr,1429.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,2 Pr,714.50/Pr,1429.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,2 Pr,879.50/Pr,1759.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,2 Pr,879.50/Pr,1759.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,2 Pr,934.50/Pr,1869.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,2 Pr,934.50/Pr,1869.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,2 Pr,934.50/Pr,1869.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,2 Pr,934.50/Pr,1869.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,2 Pr,934.50/Pr,1869.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 UK) - Black,,,,2 Pr,934.50/Pr,1869.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 UK) - Black,,,,1 Pr,934.50/Pr,934.50,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 UK) - Black,,,,1 Pr,934.50/Pr,934.50,,,,,,,,,,,,,,,,,,,,,
02-May-25,R M SURESH & CO,PSB25-26/INV-214,PSB25-26/INV-214,Being Sale of Goods - Accounted,150 Pr,,10050.00,10553.00 Dr,10050.00 Cr,,,0.48 Cr,,,251.26 Cr,251.26 Cr,,,,,,,,,,,,
,VPS Black Crew Length Socks (P/1) - XS,,,,10 Pr,67.00/Pr,670.00,,,,,,,,,,,,,,,,,,,,,
,VPS Black Crew Length Socks (P/1) - S,,,,20 Pr,67.00/Pr,1340.00,,,,,,,,,,,,,,,,,,,,,
,VPS Black Crew Length Socks (P/1) - M,,,,35 Pr,67.00/Pr,2345.00,,,,,,,,,,,,,,,,,,,,,
,VPS Black Crew Length Socks (P/1) - L,,,,30 Pr,67.00/Pr,2010.00,,,,,,,,,,,,,,,,,,,,,
,VPS Black Crew Length Socks (P/1) - XL,,,,55 Pr,67.00/Pr,3685.00,,,,,,,,,,,,,,,,,,,,,
03-May-25,Kitco Sales Agency,PSB25-26/INV-215,PSB25-26/INV-215,Being Sale of Goods - Accounted,127 Pr,,102372.67,114657.00 Dr,102372.67 Cr,,,0.40 Dr,,,,,12284.73 Cr,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 C) - Black,,,,4 Pr,648.21/Pr,2592.84,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,7 Pr,648.21/Pr,4537.47,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,12 Pr,798.21/Pr,9578.52,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,17 Pr,798.21/Pr,13569.57,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,15 Pr,798.21/Pr,11973.15,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,19 Pr,798.21/Pr,15165.99,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,31 Pr,848.21/Pr,26294.51,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,10 Pr,848.21/Pr,8482.10,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,5 Pr,848.21/Pr,4241.05,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - Black,,,,4 Pr,848.21/Pr,3392.84,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 UK) - Black,,,,2 Pr,848.21/Pr,1696.42,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 UK) - Black,,,,1 Pr,848.21/Pr,848.21,,,,,,,,,,,,,,,,,,,,,
03-May-25,HITESH CREATIONS (J P NAGAR),PSB25-26/INV-216,PSB25-26/INV-216,Being Sale of Goods - Accounted,55 Pr,,44120.00,49414.00 Dr,44120.00 Cr,,,0.40 Dr,2647.20 Cr,2647.20 Cr,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,20 Pr,740.00/Pr,14800.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,20 Pr,740.00/Pr,14800.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,15 Pr,968.00/Pr,14520.00,,,,,,,,,,,,,,,,,,,,,
03-May-25,SAI ANUGRAHA TRADERS,PSB25-26/INV-217,PSB25-26/INV-217,Being Sale of Goods - Accounted,126 Pr,,107010.00,119851.00 Dr,107010.00 Cr,,,0.20 Dr,,,,,12841.20 Cr,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 C) - Black,,,,2 Pr,701.00/Pr,1402.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,10 Pr,701.00/Pr,7010.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,10 Pr,701.00/Pr,7010.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,10 Pr,701.00/Pr,7010.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,10 Pr,863.00/Pr,8630.00,,,,,,,,,,,,,,,,,,,,,
