Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output IGST @ 18%,Round Off,Output CGST @ 9%,Output SGST @ 9%,Output IGST @ 12%,Output CGST @ 6%,Output SGST @ 6%,Shipping Interstate GST @ 12%,Shipping Interstate GST @ 12,Output CGST @ 2.5%,Output SGST @ 2.5%,Output IGST @ 5%,Shipping Interstate GST @ 18%,Local GST Sales @ 5%,Local GST Sales @ 18%,Shipping Local GST @ 18%,Interstate GST Sales @ 5%,Interstate GST Sales @ 12%,Interstate GST Sales @ 18%,Interstate GST Sales @ 5%,Interstate GST Sales @ 12%,Interstate GST Sales @ 18%
,Spring Days - Track Pants,,,,3 Pcs,485.71/Pcs,1457.13,,,,,,,,,,,,,,,,,,,,,,,,
,Spring Days - Track Pants,,,,16 Pcs,504.76/Pcs,8076.16,,,,,,,,,,,,,,,,,,,,,,,,
,Spring Days - Track Pants,,,,6 Pcs,514.29/Pcs,3085.74,,,,,,,,,,,,,,,,,,,,,,,,
,Spring Days - T Shirt,,,,2 Pcs,504.76/Pcs,1009.52,,,,,,,,,,,,,,,,,,,,,,,,
,Spring Days - T Shirt,,,,9 Pcs,533.33/Pcs,4799.97,,,,,,,,,,,,,,,,,,,,,,,,
,Spring Days - T Shirt,,,,4 Pcs,542.86/Pcs,2171.44,,,,,,,,,,,,,,,,,,,,,,,,
,Caps (Maroon),,,,1 Pcs,342.86/Pcs,342.86,,,,,,,,,,,,,,,,,,,,,,,,
14-Aug-25,Walk-King Shoe Company,PSB25-26/INV-941,PSB25-26/INV-941,Being Sale of Goods - Accounted,1 Pr,,1476.00,1742.00 Dr,1476.00 Cr,265.68 Cr,0.32 Cr,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 08 US) - Black,,,,1 Pr,1476.00/Pr,1476.00,,,,,,,,,,,,,,,,,,,,,,,,
14-Aug-25,Walk-King Shoe Company,PSB25-26/INV-942,PSB25-26/INV-942,Being Sale of Goods - Accounted,2 Pr,,2829.00,3338.00 Dr,2829.00 Cr,509.22 Cr,0.22 Dr,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 06 Y) - Black,,,,1 Pr,1353.00/Pr,1353.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 11 US) - Black,,,,1 Pr,1476.00/Pr,1476.00,,,,,,,,,,,,,,,,,,,,,,,,
14-Aug-25,Walk-King Shoe Company,PSB25-26/INV-943,PSB25-26/INV-943,Being Sale of Goods - Accounted,1 Pr,,1476.00,1742.00 Dr,1476.00 Cr,265.68 Cr,0.32 Cr,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 08 US) - Black,,,,1 Pr,1476.00/Pr,1476.00,,,,,,,,,,,,,,,,,,,,,,,,
18-Aug-25,C D Agarwal & Sons,PSB25-26/INV-944,PSB25-26/INV-944,Being Sale of Goods - Accounted,31 Pr,,49949.00,60140.00 Dr,49949.00 Cr,9173.87 Cr,0.18 Cr,,,,,,,,,,,1016.95 Cr,,,,,,,,,
,Puma School Shoes (Size 11 C) - Black,,,,2 Pr,1427.00/Pr,2854.00,,,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 04 UK) - Black,,,,4 Pr,1529.00/Pr,6116.00,,,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 07 UK) - Black,,,,5 Pr,1682.00/Pr,8410.00,,,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 08 UK) - Black,,,,2 Pr,1682.00/Pr,3364.00,,,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 13 C) - White,,,,3 Pr,1427.00/Pr,4281.00,,,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 01 UK) - White,,,,2 Pr,1529.00/Pr,3058.00,,,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 05 UK) - White,,,,3 Pr,1682.00/Pr,5046.00,,,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 06 UK) - White,,,,3 Pr,1682.00/Pr,5046.00,,,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 07 UK) - White,,,,2 Pr,1682.00/Pr,3364.00,,,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 08 UK) - White,,,,3 Pr,1682.00/Pr,5046.00,,,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 10 UK) - White,,,,2 Pr,1682.00/Pr,3364.00,,,,,,,,,,,,,,,,,,,,,,,,
19-Aug-25,Walk-King Shoe Company,PSB25-26/INV-945,PSB25-26/INV-945,Being Sale of Goods - Accounted,3 Pr,,4428.00,5225.00 Dr,4428.00 Cr,797.04 Cr,0.04 Dr,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 10 US) - Black,,,,3 Pr,1476.00/Pr,4428.00,,,,,,,,,,,,,,,,,,,,,,,,
19-Aug-25,Nspira Management Services Pvt. Ltd (B),PSB25-26/INV-946,PSB25-26/INV-946,Being Sale of Goods - Accounted,2 Pr,,2922.88,3449.00 Dr,2922.88 Cr,,,263.06 Cr,263.06 Cr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 04 Y) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 US) - Black,,,,1 Pr,1485.59/Pr,1485.59,,,,,,,,,,,,,,,,,,,,,,,,
19-Aug-25,Nspira Management Services Pvt. Ltd (B),PSB25-26/INV-947,PSB25-26/INV-947,Being Sale of Goods - Accounted,4 Pr,,5894.06,6955.00 Dr,5894.06 Cr,,0.02 Cr,530.46 Cr,530.46 Cr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 02 Y) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 US) - Black,,,,1 Pr,1485.59/Pr,1485.59,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 US) - Black,,,,1 Pr,1485.59/Pr,1485.59,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 US) - Black,,,,1 Pr,1485.59/Pr,1485.59,,,,,,,,,,,,,,,,,,,,,,,,
19-Aug-25,Nspira Management Services Pvt. Ltd (B),PSB25-26/INV-948,PSB25-26/INV-948,Being Sale of Goods - Accounted,21 Pr,,30231.39,35673.00 Dr,30231.39 Cr,,0.03 Dr,2720.82 Cr,2720.82 Cr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe - Black,,,,20 Pr,1437.29/Pr,28745.80,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe - Black,,,,1 Pr,1485.59/Pr,1485.59,,,,,,,,,,,,,,,,,,,,,,,,
19-Aug-25,Nspira Management Services Pvt. Ltd (B),PSB25-26/INV-949,PSB25-26/INV-949,Being Sale of Goods - Accounted,3 Pr,,4456.77,5259.00 Dr,4456.77 Cr,,0.01 Cr,401.11 Cr,401.11 Cr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe - Black,,,,3 Pr,1485.59/Pr,4456.77,,,,,,,,,,,,,,,,,,,,,,,,
19-Aug-25,Nspira Management Services Pvt. Ltd (B),PSB25-26/INV-950,PSB25-26/INV-950,Being Sale of Goods - Accounted,9 Pr,,13370.31,15777.00 Dr,13370.31 Cr,,0.03 Cr,1203.33 Cr,1203.33 Cr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 08 US) - Black,,,,2 Pr,1485.59/Pr,2971.18,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 US) - Black,,,,1 Pr,1485.59/Pr,1485.59,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 US) - Black,,,,5 Pr,1485.59/Pr,7427.95,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe - Black,,,,1 Pr,1485.59/Pr,1485.59,,,,,,,,,,,,,,,,,,,,,,,,
19-Aug-25,Nspira Management Services Pvt. Ltd (B),PSB25-26/INV-951,PSB25-26/INV-951,Being Sale of Goods - Accounted,23 Pr,,33830.47,39920.00 Dr,33830.47 Cr,,0.05 Cr,3044.74 Cr,3044.74 Cr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe - Black,,,,7 Pr,1437.29/Pr,10061.03,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe - Black,,,,16 Pr,1485.59/Pr,23769.44,,,,,,,,,,,,,,,,,,,,,,,,
19-Aug-25,Nspira Management Services Pvt. Ltd (B),PSB25-26/INV-952,PSB25-26/INV-952,Being Sale of Goods - Accounted,5 Pr,,7283.05,8594.00 Dr,7283.05 Cr,,0.01 Dr,655.48 Cr,655.48 Cr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 C) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 01 Y) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 05 Y) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 US) - Black,,,,1 Pr,1485.59/Pr,1485.59,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 US) - Black,,,,1 Pr,1485.59/Pr,1485.59,,,,,,,,,,,,,,,,,,,,,,,,
19-Aug-25,Nspira Management Services Pvt. Ltd (B),PSB25-26/INV-953,PSB25-26/INV-953,Being Sale of Goods - Accounted,7 Pr,,10109.33,11929.00 Dr,10109.33 Cr,,0.01 Dr,909.84 Cr,909.84 Cr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 C) - Black,,,,2 Pr,1437.29/Pr,2874.58,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 01 Y) - Black,,,,2 Pr,1437.29/Pr,2874.58,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 04 Y) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 06 Y) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 US) - Black,,,,1 Pr,1485.59/Pr,1485.59,,,,,,,,,,,,,,,,,,,,,,,,
19-Aug-25,Nspira Management Services Pvt. Ltd (B),PSB25-26/INV-954,PSB25-26/INV-954,Being Sale of Goods - Accounted,29 Pr,,42261.01,49868.00 Dr,42261.01 Cr,,0.01 Cr,3803.49 Cr,3803.49 Cr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 C) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 C) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 C) - Black,,,,2 Pr,1437.29/Pr,2874.58,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 01 Y) - Black,,,,3 Pr,1437.29/Pr,4311.87,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 02 Y) - Black,,,,3 Pr,1437.29/Pr,4311.87,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - Black,,,,2 Pr,1437.29/Pr,2874.58,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 04 Y) - Black,,,,2 Pr,1437.29/Pr,2874.58,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 05 Y) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 06 Y) - Black,,,,2 Pr,1437.29/Pr,2874.58,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - Black,,,,4 Pr,1485.59/Pr,5942.36,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 08 US) - Black,,,,2 Pr,1485.59/Pr,2971.18,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 US) - Black,,,,4 Pr,1485.59/Pr,5942.36,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 US) - Black,,,,1 Pr,1485.59/Pr,1485.59,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 US) - Black,,,,1 Pr,1485.59/Pr,1485.59,,,,,,,,,,,,,,,,,,,,,,,,
19-Aug-25,Nspira Management Services Pvt. Ltd (B),PSB25-26/INV-955,PSB25-26/INV-955,Being Sale of Goods - Accounted,20 Pr,,28890.70,34091.00 Dr,28890.70 Cr,,,2600.15 Cr,2600.15 Cr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 C) - Black,,,,2 Pr,1437.29/Pr,2874.58,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 12 C) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 C) - Black,,,,7 Pr,1437.29/Pr,10061.03,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 02 Y) - Black,,,,2 Pr,1437.29/Pr,2874.58,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - Black,,,,2 Pr,1437.29/Pr,2874.58,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 04 Y) - Black,,,,2 Pr,1437.29/Pr,2874.58,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - Black,,,,1 Pr,1485.59/Pr,1485.59,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 US) - Black,,,,1 Pr,1485.59/Pr,1485.59,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 US) - Black,,,,1 Pr,1485.59/Pr,1485.59,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
19-Aug-25,Nspira Management Services Pvt. Ltd (B),PSB25-26/INV-956,PSB25-26/INV-956,Being Sale of Goods - Accounted,3 Pr,,4408.47,5202.00 Dr,4408.47 Cr,,0.01 Cr,396.76 Cr,396.76 Cr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 06 Y) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 US) - Black,,,,1 Pr,1485.59/Pr,1485.59,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 US) - Black,,,,1 Pr,1485.59/Pr,1485.59,,,,,,,,,,,,,,,,,,,,,,,,
19-Aug-25,Nspira Management Services Pvt. Ltd (B),PSB25-26/INV-957,PSB25-26/INV-957,Being Sale of Goods - Accounted,22 Pr,,31861.88,37597.00 Dr,31861.88 Cr,,0.04 Dr,2867.58 Cr,2867.58 Cr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 C) - Black,,,,3 Pr,1437.29/Pr,4311.87,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 C) - Black,,,,3 Pr,1437.29/Pr,4311.87,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 C) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 C) - Black,,,,2 Pr,1437.29/Pr,2874.58,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 01 Y) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 02 Y) - Black,,,,2 Pr,1437.29/Pr,2874.58,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 04 Y) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 05 Y) - Black,,,,2 Pr,1437.29/Pr,2874.58,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 06 Y) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - Black,,,,1 Pr,1485.59/Pr,1485.59,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 08 US) - Black,,,,3 Pr,1485.59/Pr,4456.77,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 US) - Black,,,,1 Pr,1485.59/Pr,1485.59,,,,,,,,,,,,,,,,,,,,,,,,
19-Aug-25,Nspira Management Services Pvt. Ltd (B),PSB25-26/INV-958,PSB25-26/INV-958,Being Sale of Goods - Accounted,1 Pr,,1437.29,1696.00 Dr,1437.29 Cr,,0.01 Dr,129.36 Cr,129.36 Cr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 06 Y) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
19-Aug-25,Nspira Management Services Pvt. Ltd (B),PSB25-26/INV-959,PSB25-26/INV-959,Being Sale of Goods - Accounted,2 Pr,,2922.88,3449.00 Dr,2922.88 Cr,,,263.06 Cr,263.06 Cr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 06 Y) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 08 US) - Black,,,,1 Pr,1485.59/Pr,1485.59,,,,,,,,,,,,,,,,,,,,,,,,
19-Aug-25,Nspira Management Services Pvt. Ltd (B),PSB25-26/INV-960,PSB25-26/INV-960,Being Sale of Goods - Accounted,8 Pr,,11498.32,13568.00 Dr,11498.32 Cr,,0.04 Dr,1034.86 Cr,1034.86 Cr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 C) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 C) - Black,,,,6 Pr,1437.29/Pr,8623.74,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 05 Y) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
19-Aug-25,Nspira Management Services Pvt. Ltd (B),PSB25-26/INV-961,PSB25-26/INV-961,Being Sale of Goods - Accounted,5 Pr,,7234.75,8537.00 Dr,7234.75 Cr,,0.01 Dr,651.13 Cr,651.13 Cr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 C) - Black,,,,2 Pr,1437.29/Pr,2874.58,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 04 Y) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 05 Y) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - Black,,,,1 Pr,1485.59/Pr,1485.59,,,,,,,,,,,,,,,,,,,,,,,,
19-Aug-25,Nspira Management Services Pvt. Ltd (B),PSB25-26/INV-962,PSB25-26/INV-962,Being Sale of Goods - Accounted,31 Pr,,44894.09,52975.00 Dr,44894.09 Cr,,0.01 Dr,4040.46 Cr,4040.46 Cr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 C) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 C) - Black,,,,2 Pr,1437.29/Pr,2874.58,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 12 C) - Black,,,,4 Pr,1437.29/Pr,5749.16,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 C) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 02 Y) - Black,,,,2 Pr,1437.29/Pr,2874.58,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - Black,,,,2 Pr,1437.29/Pr,2874.58,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 05 Y) - Black,,,,2 Pr,1437.29/Pr,2874.58,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 08 US) - Black,,,,1 Pr,1485.59/Pr,1485.59,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 US) - Black,,,,2 Pr,1485.59/Pr,2971.18,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe - Black,,,,10 Pr,1437.29/Pr,14372.90,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe - Black,,,,4 Pr,1485.59/Pr,5942.36,,,,,,,,,,,,,,,,,,,,,,,,
19-Aug-25,Nspira Management Services Pvt. Ltd (B),PSB25-26/INV-963,PSB25-26/INV-963,Being Sale of Goods - Accounted,2 Pr,,2874.58,3392.00 Dr,2874.58 Cr,,0.02 Dr,258.72 Cr,258.72 Cr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 C) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 01 Y) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
19-Aug-25,Nspira Management Services Pvt. Ltd (B),PSB25-26/INV-964,PSB25-26/INV-964,Being Sale of Goods - Accounted,6 Pr,,8672.04,10233.00 Dr,8672.04 Cr,,0.04 Dr,780.50 Cr,780.50 Cr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 C) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 01 Y) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 02 Y) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 05 Y) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 US) - Black,,,,1 Pr,1485.59/Pr,1485.59,,,,,,,,,,,,,,,,,,,,,,,,
19-Aug-25,Nspira Management Services Pvt. Ltd (B),PSB25-26/INV-965,PSB25-26/INV-965,Being Sale of Goods - Accounted,11 Pr,,16003.39,18884.00 Dr,16003.39 Cr,,0.01 Cr,1440.30 Cr,1440.30 Cr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 02 Y) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - Black,,,,2 Pr,1437.29/Pr,2874.58,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 04 Y) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 05 Y) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 06 Y) - Black,,,,2 Pr,1437.29/Pr,2874.58,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - Black,,,,1 Pr,1485.59/Pr,1485.59,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 08 US) - Black,,,,1 Pr,1485.59/Pr,1485.59,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 US) - Black,,,,1 Pr,1485.59/Pr,1485.59,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 US) - Black,,,,1 Pr,1485.59/Pr,1485.59,,,,,,,,,,,,,,,,,,,,,,,,
19-Aug-25,Nspira Management Services Pvt. Ltd (B),PSB25-26/INV-966,PSB25-26/INV-966,Being Sale of Goods - Accounted,11 Pr,,16099.99,18998.00 Dr,16099.99 Cr,,0.01 Dr,1449.01 Cr,1449.01 Cr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 C) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 01 Y) - Black,,,,3 Pr,1437.29/Pr,4311.87,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 05 Y) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 08 US) - Black,,,,2 Pr,1485.59/Pr,2971.18,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 US) - Black,,,,1 Pr,1485.59/Pr,1485.59,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 US) - Black,,,,3 Pr,1485.59/Pr,4456.77,,,,,,,,,,,,,,,,,,,,,,,,
19-Aug-25,Nspira Management Services Pvt. Ltd (B),PSB25-26/INV-967,PSB25-26/INV-967,Being Sale of Goods - Accounted,7 Pr,,10205.93,12043.00 Dr,10205.93 Cr,,0.01 Cr,918.53 Cr,918.53 Cr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 C) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 02 Y) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - Black,,,,2 Pr,1437.29/Pr,2874.58,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - Black,,,,1 Pr,1485.59/Pr,1485.59,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 08 US) - Black,,,,1 Pr,1485.59/Pr,1485.59,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 US) - Black,,,,1 Pr,1485.59/Pr,1485.59,,,,,,,,,,,,,,,,,,,,,,,,
