Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output IGST @ 18%,Round Off,Output CGST @ 6%,Output SGST @ 6%,Shipping Local GST @ 12%,Output IGST @ 12%,Output CGST @ 9%,Output SGST @ 9%,Output CGST @ 2.5%,Output SGST @ 2.5%,Output IGST @ 5%,Shipping Local GST @ 18%,Shipping Interstate GST @ 12%,Input IGST @ 18%,Input SGST @ 6%,Local GST Sales @ 5%,Local GST Sales @ 12%,Local GST Sales @ 18%,Interstate GST Sales @ 18%
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,8 Pr,1375.00/Pr,11000.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - Black,,,,8 Pr,1375.00/Pr,11000.00,,,,,,,,,,,,,,,,,,,,,
21-Apr-25,MICKEY AND MINNIE CLOTHING,PSB25-26/INV-108,PSB25-26/INV-108,Being Sale of Goods - Accounted,45 Pr,,62550.00,73809.00 Dr,62550.00 Cr,,,,,,,5629.50 Cr,5629.50 Cr,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 C) - Black,,,,3 Pr,1350.00/Pr,4050.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 C) - Black,,,,3 Pr,1350.00/Pr,4050.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 C) - Black,,,,3 Pr,1350.00/Pr,4050.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 12 C) - Black,,,,3 Pr,1350.00/Pr,4050.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 C) - Black,,,,3 Pr,1350.00/Pr,4050.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 01 Y) - Black,,,,3 Pr,1350.00/Pr,4050.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 02 Y) - Black,,,,3 Pr,1350.00/Pr,4050.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - Black,,,,3 Pr,1350.00/Pr,4050.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 04 Y) - Black,,,,3 Pr,1350.00/Pr,4050.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 05 Y) - Black,,,,3 Pr,1350.00/Pr,4050.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 06 Y) - Black,,,,3 Pr,1350.00/Pr,4050.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - Black,,,,3 Pr,1500.00/Pr,4500.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 08 US) - Black,,,,3 Pr,1500.00/Pr,4500.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 US) - Black,,,,3 Pr,1500.00/Pr,4500.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 US) - Black,,,,3 Pr,1500.00/Pr,4500.00,,,,,,,,,,,,,,,,,,,,,
21-Apr-25,Deena Uniforms (S),PSB25-26/INV-109,PSB25-26/INV-109,Being Sale of Goods - Accounted,70 Pr,,92880.00,109598.00 Dr,92880.00 Cr,,0.40 Dr,,,,,8359.20 Cr,8359.20 Cr,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 C) - Black,,,,5 Pr,1296.00/Pr,6480.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 C) - Black,,,,10 Pr,1296.00/Pr,12960.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 01 Y) - Black,,,,10 Pr,1296.00/Pr,12960.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 05 Y) - Black,,,,5 Pr,1296.00/Pr,6480.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 06 Y) - Black,,,,5 Pr,1296.00/Pr,6480.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - Black,,,,5 Pr,1440.00/Pr,7200.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 08 US) - Black,,,,5 Pr,1440.00/Pr,7200.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 02 Y) - White,,,,5 Pr,1296.00/Pr,6480.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 04 Y) - White,,,,5 Pr,1296.00/Pr,6480.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 05 Y) - White,,,,5 Pr,1296.00/Pr,6480.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 06 Y) - White,,,,5 Pr,1296.00/Pr,6480.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - White,,,,5 Pr,1440.00/Pr,7200.00,,,,,,,,,,,,,,,,,,,,,
21-Apr-25,MICKEY AND MINNIE CLOTHING,PSB25-26/INV-110,PSB25-26/INV-110,Being Sale of Goods - Accounted,89 Pr,,108893.00,128494.00 Dr,108893.00 Cr,,0.26 Cr,,,,,9800.37 Cr,9800.37 Cr,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08C) - Black,,,,3 Pr,1019.00/Pr,3057.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09C) - Black,,,,8 Pr,1019.00/Pr,8152.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 C) - Black,,,,8 Pr,1019.00/Pr,8152.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Black,,,,7 Pr,1019.00/Pr,7133.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,5 Pr,1019.00/Pr,5095.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,5 Pr,1273.00/Pr,6365.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,5 Pr,1273.00/Pr,6365.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,5 Pr,1375.00/Pr,6875.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,4 Pr,1375.00/Pr,5500.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,5 Pr,1375.00/Pr,6875.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,5 Pr,1375.00/Pr,6875.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - White,,,,2 Pr,1019.00/Pr,2038.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - White,,,,3 Pr,1273.00/Pr,3819.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - White,,,,4 Pr,1273.00/Pr,5092.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - White,,,,5 Pr,1375.00/Pr,6875.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - White,,,,4 Pr,1375.00/Pr,5500.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - White,,,,1 Pr,1375.00/Pr,1375.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - White,,,,4 Pr,1375.00/Pr,5500.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - White,,,,4 Pr,1375.00/Pr,5500.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - White,,,,2 Pr,1375.00/Pr,2750.00,,,,,,,,,,,,,,,,,,,,,
21-Apr-25,MICKEY AND MINNIE CLOTHING,PSB25-26/INV-111,PSB25-26/INV-111,Being Sale of Goods - Accounted,54 Pr,,75300.00,88854.00 Dr,75300.00 Cr,,,,,,,6777.00 Cr,6777.00 Cr,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 C) - Black,,,,2 Pr,1350.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 C) - Black,,,,2 Pr,1350.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 C) - Black,,,,2 Pr,1350.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 12 C) - Black,,,,2 Pr,1350.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 C) - Black,,,,2 Pr,1350.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 01 Y) - Black,,,,2 Pr,1350.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 02 Y) - Black,,,,2 Pr,1350.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - Black,,,,2 Pr,1350.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 04 Y) - Black,,,,2 Pr,1350.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 05 Y) - Black,,,,2 Pr,1350.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 06 Y) - Black,,,,2 Pr,1350.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - Black,,,,2 Pr,1500.00/Pr,3000.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 08 US) - Black,,,,2 Pr,1500.00/Pr,3000.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 US) - Black,,,,2 Pr,1500.00/Pr,3000.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 US) - Black,,,,2 Pr,1500.00/Pr,3000.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 12 C) - White,,,,2 Pr,1350.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 C) - White,,,,2 Pr,1350.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 01 Y) - White,,,,2 Pr,1350.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 02 Y) - White,,,,2 Pr,1350.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - White,,,,2 Pr,1350.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 04 Y) - White,,,,2 Pr,1350.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 05 Y) - White,,,,2 Pr,1350.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 06 Y) - White,,,,2 Pr,1350.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - White,,,,2 Pr,1500.00/Pr,3000.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 08 US) - White,,,,2 Pr,1500.00/Pr,3000.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 US) - White,,,,2 Pr,1500.00/Pr,3000.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 US) - White,,,,2 Pr,1500.00/Pr,3000.00,,,,,,,,,,,,,,,,,,,,,
21-Apr-25,Uniform Central,PSB25-26/INV-112,PSB25-26/INV-112,Being Sale of Goods - Accounted,33 Pr,,44064.00,51996.00 Dr,44064.00 Cr,,0.48 Cr,,,,,3965.76 Cr,3965.76 Cr,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 C) - Black,,,,1 Pr,1296.00/Pr,1296.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 C) - Black,,,,1 Pr,1296.00/Pr,1296.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 C) - Black,,,,1 Pr,1296.00/Pr,1296.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 12 C) - Black,,,,2 Pr,1296.00/Pr,2592.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 C) - Black,,,,2 Pr,1296.00/Pr,2592.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 02 Y) - Black,,,,4 Pr,1296.00/Pr,5184.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - Black,,,,4 Pr,1296.00/Pr,5184.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 05 Y) - Black,,,,5 Pr,1296.00/Pr,6480.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 06 Y) - Black,,,,4 Pr,1296.00/Pr,5184.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - Black,,,,3 Pr,1440.00/Pr,4320.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 08 US) - Black,,,,1 Pr,1440.00/Pr,1440.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 US) - Black,,,,2 Pr,1440.00/Pr,2880.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 US) - Black,,,,2 Pr,1440.00/Pr,2880.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 12 US) - Black,,,,1 Pr,1440.00/Pr,1440.00,,,,,,,,,,,,,,,,,,,,,
21-Apr-25,Uniform Central,PSB25-26/INV-113,PSB25-26/INV-113,Being Sale of Goods - Accounted,14 Pr,,17500.00,20650.00 Dr,17500.00 Cr,,,,,,,1575.00 Cr,1575.00 Cr,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08C) - Black,,,,1 Pr,1000.00/Pr,1000.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,1 Pr,1000.00/Pr,1000.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,1 Pr,1250.00/Pr,1250.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,1 Pr,1250.00/Pr,1250.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,5 Pr,1250.00/Pr,6250.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,1 Pr,1350.00/Pr,1350.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,1 Pr,1350.00/Pr,1350.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,1 Pr,1350.00/Pr,1350.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,2 Pr,1350.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,
21-Apr-25,Radcliffe Education Pvt Ltd (M),PSB25-26/INV-114,PSB25-26/INV-114,Being Sale of Goods - Accounted,82 Pr,,63033.88,70598.00 Dr,63033.88 Cr,,0.06 Cr,,,,7564.06 Cr,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 C) - Black,,,,4 Pr,660.71/Pr,2642.84,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 C) - Black,,,,8 Pr,660.71/Pr,5285.68,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 C) - Black,,,,5 Pr,660.71/Pr,3303.55,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,5 Pr,660.71/Pr,3303.55,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,7 Pr,660.71/Pr,4624.97,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,6 Pr,660.71/Pr,3964.26,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,3 Pr,813.39/Pr,2440.17,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,8 Pr,813.39/Pr,6507.12,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,3 Pr,813.39/Pr,2440.17,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,11 Pr,864.29/Pr,9507.19,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,11 Pr,864.29/Pr,9507.19,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,4 Pr,864.29/Pr,3457.16,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,6 Pr,864.29/Pr,5185.74,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,
21-Apr-25,Radcliffe Education Pvt Ltd (M),PSB25-26/INV-115,PSB25-26/INV-115,Being Sale of Goods - Accounted,24 Pr,,19928.58,22320.00 Dr,19928.58 Cr,,,,,,2391.42 Cr,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,2 Pr,813.39/Pr,1626.78,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,7 Pr,813.39/Pr,5693.73,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,3 Pr,813.39/Pr,2440.17,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,5 Pr,864.29/Pr,4321.45,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,3 Pr,864.29/Pr,2592.87,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,3 Pr,864.29/Pr,2592.87,,,,,,,,,,,,,,,,,,,,,
21-Apr-25,Radcliffe Education Pvt Ltd (M),PSB25-26/INV-116,PSB25-26/INV-116,Being Sale of Goods - Accounted,1 Pr,,660.71,740.00 Dr,660.71 Cr,,,,,,79.29 Cr,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,
21-Apr-25,Radcliffe Education Pvt Ltd (M),PSB25-26/INV-117,PSB25-26/INV-117,Being Sale of Goods - Accounted,89 Pr,,68676.71,76918.00 Dr,68676.71 Cr,,0.10 Cr,,,,8241.19 Cr,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 C) - Black,,,,4 Pr,660.71/Pr,2642.84,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 C) - Black,,,,7 Pr,660.71/Pr,4624.97,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,7 Pr,660.71/Pr,4624.97,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,6 Pr,660.71/Pr,3964.26,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,11 Pr,660.71/Pr,7267.81,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,8 Pr,813.39/Pr,6507.12,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,8 Pr,813.39/Pr,6507.12,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,6 Pr,813.39/Pr,4880.34,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,16 Pr,864.29/Pr,13828.64,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,7 Pr,864.29/Pr,6050.03,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,4 Pr,864.29/Pr,3457.16,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - Black,,,,2 Pr,864.29/Pr,1728.58,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,
21-Apr-25,Radcliffe Education Pvt Ltd (M),PSB25-26/INV-118,PSB25-26/INV-118,Being Sale of Goods - Accounted,2 Pr,,1321.42,1480.00 Dr,1321.42 Cr,,,,,,158.58 Cr,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,
21-Apr-25,Radcliffe Education Pvt Ltd (M),PSB25-26/INV-119,PSB25-26/INV-119,Being Sale of Goods - Accounted,3 Pr,,2287.49,2562.00 Dr,2287.49 Cr,,,,,,274.51 Cr,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,1 Pr,813.39/Pr,813.39,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,1 Pr,813.39/Pr,813.39,,,,,,,,,,,,,,,,,,,,,
21-Apr-25,Radcliffe Education Pvt Ltd (M),PSB25-26/INV-120,PSB25-26/INV-120,Being Sale of Goods - Accounted,127 Pr,,99687.41,111650.00 Dr,99687.41 Cr,,0.11 Cr,,,,11962.48 Cr,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 C) - Black,,,,6 Pr,660.71/Pr,3964.26,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 C) - Black,,,,5 Pr,660.71/Pr,3303.55,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,8 Pr,660.71/Pr,5285.68,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,7 Pr,660.71/Pr,4624.97,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,13 Pr,660.71/Pr,8589.23,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,15 Pr,813.39/Pr,12200.85,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,18 Pr,813.39/Pr,14641.02,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,9 Pr,813.39/Pr,7320.51,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,9 Pr,864.29/Pr,7778.61,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,7 Pr,864.29/Pr,6050.03,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,13 Pr,864.29/Pr,11235.77,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,7 Pr,864.29/Pr,6050.03,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - Black,,,,6 Pr,864.29/Pr,5185.74,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 UK) - Black,,,,4 Pr,864.29/Pr,3457.16,,,,,,,,,,,,,,,,,,,,,
21-Apr-25,Radcliffe Education Pvt Ltd (M),PSB25-26/INV-121,PSB25-26/INV-121,Being Sale of Goods - Accounted,24 Pr,,17994.58,20154.00 Dr,17994.58 Cr,,0.06 Cr,,,,2159.36 Cr,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 C) - Black,,,,3 Pr,660.71/Pr,1982.13,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,2 Pr,660.71/Pr,1321.42,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,4 Pr,660.71/Pr,2642.84,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,2 Pr,813.39/Pr,1626.78,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,1 Pr,813.39/Pr,813.39,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,7 Pr,813.39/Pr,5693.73,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,2 Pr,864.29/Pr,1728.58,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,
21-Apr-25,ETERNAL TRADING CO,PSB25-26/INV-122,PSB25-26/INV-122,Being Sale of Goods - Accounted,300 Pr,,341538.00,399043.00 Dr,341538.00 Cr,49560.12 Cr,0.40 Cr,,,,7944.48 Cr,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,24 Pr,919.50/Pr,22068.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,48 Pr,919.50/Pr,44136.00,,,,,,,,,,,,,,,,,,,,,
