Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output IGST @ 12%,Output IGST @ 18%,Round Off,Output IGST @ 5%,Output CGST @ 2.5%,Output SGST @ 2.5%,TCS on Sales (0.1%),Output CGST @ 6%,Output SGST @ 6%,Output CGST @ 9%,Output SGST @ 9%,Input CGST @ 2.5%,Input SGST @ 2.5%,Input CGST @ 6%,Input SGST @ 6%,Input CGST @ 9%,Input SGST @ 9%,Local GST Sales @ 5%,Local GST Sales @ 18%,Interstate GST Sales @ 5%
,Puma School Shoes (Size 01 UK) - White,,,,10 Pr,1440.00/Pr,14400.00,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 02 UK) - White,,,,8 Pr,1440.00/Pr,11520.00,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 03 UK) - White,,,,11 Pr,1440.00/Pr,15840.00,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 04 UK) - White,,,,10 Pr,1440.00/Pr,14400.00,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 05 UK) - White,,,,20 Pr,1584.00/Pr,31680.00,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 06 UK) - White,,,,36 Pr,1584.00/Pr,57024.00,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 07 UK) - White,,,,36 Pr,1584.00/Pr,57024.00,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 08 UK) - White,,,,24 Pr,1584.00/Pr,38016.00,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 09 UK) - White,,,,19 Pr,1584.00/Pr,30096.00,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 10 UK) - White,,,,18 Pr,1584.00/Pr,28512.00,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 11 UK) - White,,,,8 Pr,1584.00/Pr,12672.00,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 12 UK) - White,,,,11 Pr,1584.00/Pr,17424.00,,,,,,,,,,,,,,,,,,,,,,
13-Feb-25,Mr. Soman,PSB24-25/INV-827,PSB24-25/INV-827,Being Sale of Goods - Accounted,1 Pr,,1484.75,1752.00 Dr,1484.75 Cr,,,0.01 Dr,,,,,,,133.63 Cr,133.63 Cr,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - Black,,,,1 Pr,1484.75/Pr,1484.75,,,,,,,,,,,,,,,,,,,,,,
14-Feb-25,INSPIRE ENTERPRISES,PSB24-25/INV-828,PSB24-25/INV-828,Being Sale of Goods - Accounted,4 Pr,,7827.12,9236.00 Dr,7827.12 Cr,,1408.90 Cr,0.02 Dr,,,,,,,,,,,,,,,,,
