Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output CGST @ 6%,Output SGST @ 6%,Round Off,Output IGST @ 12%,Output IGST @ 18%,Output CGST @ 9%,Output SGST @ 9%,Output IGST @ 5%,Shipping Interstate GST @ 18%,Shipping Local GST @ 18%,Output CGST @ 2.5%,Output SGST @ 2.5%,Input CGST @ 2.5%,Input SGST @ 2.5%,Local GST Sales @ 5%,Local GST Sales @ 12%,Local GST Sales @ 18%,Interstate GST Sales @ 5%,Interstate GST Sales @ 12%,Interstate GST Sales @ 18%
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,1 Pr,1652.54/Pr,1652.54,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,1 Pr,1627.12/Pr,1627.12,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,1 Pr,1627.12/Pr,1627.12,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,1 Pr,1754.24/Pr,1754.24,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,2 Pr,1754.24/Pr,3508.48,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,1 Pr,1822.03/Pr,1822.03,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,1 Pr,1652.54/Pr,1652.54,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,2 Pr,1754.24/Pr,3508.48,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - Black,,,,1 Pr,1754.24/Pr,1754.24,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 C) - Black,,,,1 Pr,1313.56/Pr,1313.56,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,1 Pr,1652.54/Pr,1652.54,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,1 Pr,1627.12/Pr,1627.12,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,1 Pr,1627.12/Pr,1627.12,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,1 Pr,1822.03/Pr,1822.03,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - Black,,,,1 Pr,1822.03/Pr,1822.03,,,,,,,,,,,,,,,,,,,,,,
31-Jul-25,Online Debtors - Sports365 Local,PSB25-26/INV-893,PSB25-26/INV-893,Being Booked Local B2C Sales for the month of Apr Missing orders,,,,4453364.00 Dr,,159.00 Cr,159.00 Cr,,,,90559.50 Cr,90559.50 Cr,,,,77692.00 Cr,77692.00 Cr,,,3107673.00 Cr,2652.00 Cr,1006218.00 Cr,,,
31-Jul-25,Online Debtors - Sports365,PSB25-26/INV-894,PSB25-26/INV-894,Being Booked Interstate Online B2C Sales for the month of Apr missing orders,,,,76033.00 Dr,,,,,187.00 Cr,5193.00 Cr,,,1916.00 Cr,,,,,,,,,,38328.00 Cr,1562.00 Cr,28847.00 Cr
31-Jul-25,Online Debtors - Sports365 Local,PSB25-26/INV-895,PSB25-26/INV-895,Being Booked Local B2C Sales for the month of Jul'25,,,,1332245.00 Dr,,,,0.42 Cr,,,53384.76 Cr,53384.76 Cr,,,66199.00 Cr,15055.03 Cr,15055.03 Cr,,,602201.00 Cr,,526965.00 Cr,,,
31-Jul-25,Online Debtors - Sports365,PSB25-26/INV-896,PSB25-26/INV-896,Being Booked Interstate Online B2C Sales for the month of Jul'25,,,,313722.00 Dr,,,,0.35 Dr,277.32 Cr,10659.78 Cr,,,11488.25 Cr,23339.00 Cr,,,,,,,,,229765.00 Cr,2311.00 Cr,35882.00 Cr
,Grand Total,,,,,,8130254.57,15589351.00 Dr,8130254.57 Cr,107631.26 Cr,107631.26 Cr,2.92 Cr,18122.11 Cr,146175.25 Cr,591929.13 Cr,591929.13 Cr,25381.85 Cr,23423.75 Cr,66427.81 Cr,97226.53 Cr,97226.53 Cr,1792.45 Cr,1792.45 Cr,3709874.00 Cr,2652.00 Cr,1533183.00 Cr,268093.00 Cr,3873.00 Cr,64729.00 Cr
