Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output IGST @ 5%,Round Off,Output CGST @ 9%,Output SGST @ 9%,Output IGST @ 12%,Output CGST @ 6%,Output SGST @ 6%,Output IGST @ 18%,Shipping Local GST @ 12%,Output CGST @ 2.5%,Output SGST @ 2.5%,Shipping Interstate GST @ 12%,Shipping Interstate GST @ 12,Local GST Sales @ 18%,Interstate GST Sales @ 18%,Local GST Sales @ 5%,Interstate GST Sales @ 5%,Shipping Local GST @ 18%,Shipping Interstate GST @ 18%,Shipping Interstate GST @ 18%
01-Sep-25,Gubbacci Apparel Pvt Ltd,PSB2526/INV-1036,PSB2526/INV-1036,Being Sale of Goods - Accounted,257 Pr,,175847.71,196949.00 Dr,175847.71 Cr,,0.45 Dr,,,,10550.87 Cr,10550.87 Cr,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 13 K) - Black,,,,28 Pr,654.46/Pr,18324.88,,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 01 UK) - Black,,,,20 Pr,654.46/Pr,13089.20,,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 06 UK) - Black,,,,25 Pr,691.07/Pr,17276.75,,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 07 UK) - Black,,,,20 Pr,691.07/Pr,13821.40,,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 08 UK) - Black,,,,30 Pr,691.07/Pr,20732.10,,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 09 UK) - Black,,,,50 Pr,691.07/Pr,34553.50,,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 10 UK) - Black,,,,50 Pr,691.07/Pr,34553.50,,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 11 UK) - Black,,,,23 Pr,691.07/Pr,15894.61,,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 12 UK) - Black,,,,11 Pr,691.07/Pr,7601.77,,,,,,,,,,,,,,,,,,,,,,
