Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output IGST @ 5%,Round Off,Output CGST @ 9%,Output SGST @ 9%,Output IGST @ 12%,Output CGST @ 6%,Output SGST @ 6%,Output IGST @ 18%,Shipping Local GST @ 12%,Output CGST @ 2.5%,Output SGST @ 2.5%,Shipping Interstate GST @ 12%,Shipping Interstate GST @ 12,Local GST Sales @ 18%,Interstate GST Sales @ 18%,Local GST Sales @ 5%,Interstate GST Sales @ 5%,Shipping Local GST @ 18%,Shipping Interstate GST @ 18%,Shipping Interstate GST @ 18%
,Reebok Prodigy Shoe (Size 02 Y) - Black,,,,4 Pr,1465.71/Pr,5862.84,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - Black,,,,2 Pr,1465.71/Pr,2931.42,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 06 Y) - Black,,,,1 Pr,1465.71/Pr,1465.71,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - Black,,,,1 Pr,1627.62/Pr,1627.62,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 08 US) - Black,,,,1 Pr,1627.62/Pr,1627.62,,,,,,,,,,,,,,,,,,,,,,
30-Sep-25,R.V. INTERNATIONAL SCHOOL,PSB2526/INV-1115,PSB2526/INV-1115,Being Sale of Goods - Accounted,1 Pr,,1056.19,1109.00 Dr,1056.19 Cr,,0.01 Cr,,,,,,,,26.40 Cr,26.40 Cr,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Black,,,,1 Pr,1056.19/Pr,1056.19,,,,,,,,,,,,,,,,,,,,,,
30-Sep-25,Walk in Customers - Rakhra,PSB2526/INV-1116,PSB2526/INV-1116,Being Sale of Goods - Accounted,1 Pr,,2238.10,2350.00 Dr,2238.10 Cr,,,,,,,,,,55.95 Cr,55.95 Cr,,,,,,,,,
,Puma School Shoes (Size 08 UK) - White,,,,1 Pr,2238.10/Pr,2238.10,,,,,,,,,,,,,,,,,,,,,,
30-Sep-25,Walk in Customers - Shree Shyam,PSB2526/INV-1117,PSB2526/INV-1117,Being Sale of Goods - Accounted,12 Pr,,17409.50,18280.00 Dr,17409.50 Cr,,0.02 Cr,,,,,,,,435.24 Cr,435.24 Cr,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Black,,,,1 Pr,1332.38/Pr,1332.38,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,1 Pr,1332.38/Pr,1332.38,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,1 Pr,1665.71/Pr,1665.71,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,1 Pr,1665.71/Pr,1665.71,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,1 Pr,1903.81/Pr,1903.81,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - White,,,,1 Pr,1903.81/Pr,1903.81,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,1 Pr,1808.57/Pr,1808.57,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,2 Pr,1760.95/Pr,3521.90,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,1 Pr,1760.95/Pr,1760.95,,,,,,,,,,,,,,,,,,,,,,
,Sri Vani Navy Blue Crew Length Socks (P/3) - S,,,,1 Pr,257.14/Pr,257.14,,,,,,,,,,,,,,,,,,,,,,
,Sri Vani Navy Blue Crew Length Socks (P/3) - M,,,,1 Pr,257.14/Pr,257.14,,,,,,,,,,,,,,,,,,,,,,
30-Sep-25,Walk in Customers - Office Store,PSB2526/INV-1118,PSB2526/INV-1118,Being Sale of Goods - Accounted,23 Pr,,30430.47,31952.00 Dr,30430.47 Cr,,0.03 Cr,,,,,,,,760.75 Cr,760.75 Cr,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,2 Pr,1427.62/Pr,2855.24,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,1 Pr,1427.62/Pr,1427.62,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - White,,,,1 Pr,1427.62/Pr,1427.62,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,1 Pr,1808.57/Pr,1808.57,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,1 Pr,1619.05/Pr,1619.05,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,1 Pr,1665.71/Pr,1665.71,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,1 Pr,1456.19/Pr,1456.19,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,1 Pr,2056.19/Pr,2056.19,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,1 Pr,1809.52/Pr,1809.52,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,1 Pr,1714.29/Pr,1714.29,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,1 Pr,1808.57/Pr,1808.57,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 UK) - Black,,,,1 Pr,1456.19/Pr,1456.19,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 C) - Black,,,,1 Pr,1799.05/Pr,1799.05,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 C) - Black,,,,1 Pr,1799.05/Pr,1799.05,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 02 Y) - Black,,,,1 Pr,2189.52/Pr,2189.52,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - Black,,,,1 Pr,2284.76/Pr,2284.76,,,,,,,,,,,,,,,,,,,,,,
,Laces,,,,1 Pr,94.29/Pr,94.29,,,,,,,,,,,,,,,,,,,,,,
,NPS White Crew Socks with 2 Brown Rings (P/3) - S,,,,1 Pr,284.76/Pr,284.76,,,,,,,,,,,,,,,,,,,,,,
,Legacy Navy Blue Ankle Socks (P/3) - S,,,,1 Pr,380.95/Pr,380.95,,,,,,,,,,,,,,,,,,,,,,
,Legacy Navy Blue Ankle Socks (P/3) - XL,,,,1 Pr,380.95/Pr,380.95,,,,,,,,,,,,,,,,,,,,,,
,Socks,,,,2 Pr,56.19/Pr,112.38,,,,,,,,,,,,,,,,,,,,,,
30-Sep-25,Reliance Retail Limited - Market Places,PSB2526/INV-1119,PSB2526/INV-1119,Being Booked Local Sales for the month of Sep'25,,,,20208.00 Dr,,,0.50 Cr,1541.25 Cr,1541.25 Cr,,,,,,,,,,17125.00 Cr,,,,,,
30-Sep-25,Online Debtors - Flipkart Local,PSB2526/INV-1120,PSB2526/INV-1120,Being Booked Local MP Sales for the month of Sep'25,,,,3065.00 Dr,,,0.54 Cr,233.73 Cr,233.73 Cr,,,,,,,,,,2597.00 Cr,,,,,,
30-Sep-25,Online Debtors - Flipkart,PSB2526/INV-1121,PSB2526/INV-1121,Being Booked Interstate Online MP Sales for the month of Sep'25,,,,50093.00 Dr,,,0.36 Dr,,,,,,7641.36 Cr,,,,,,,42452.00 Cr,,,,,
30-Sep-25,Online Debtors - Flipkart Local,PSB2526/INV-1122,PSB2526/INV-1122,Being Booked Local MP Sales for the month of Sep'25,,,,4736.00 Dr,,,0.50 Cr,,,,,,,,112.75 Cr,112.75 Cr,,,,,4510.00 Cr,,,,
30-Sep-25,Online Debtors - Flipkart,PSB2526/INV-1123,PSB2526/INV-1123,Being Booked Interstate Online MP Sales for the month of Sep'25,,,,27886.00 Dr,,1327.90 Cr,0.10 Cr,,,,,,,,,,,,,,,26558.00 Cr,,,
30-Sep-25,Online Debtors - Sports365 Local,PSB2526/INV-1124,PSB2526/INV-1124,Being Booked Local B2C Sales for the month of Sep'25 (1 to 21),,,,348014.00 Dr,,,0.30 Cr,8388.05 Cr,8388.05 Cr,,,,,,5667.55 Cr,5667.55 Cr,,,76277.00 Cr,,226702.00 Cr,,16923.50 Cr,,
30-Sep-25,Online Debtors - Sports365,PSB2526/INV-1125,PSB2526/INV-1125,Being Booked Interstate Online B2C Sales for the month of Sep'25 (1 to 21),,,,39945.00 Dr,,1379.70 Cr,0.34 Dr,,,,,,1673.64 Cr,,,,,,,6536.00 Cr,,27594.00 Cr,,2762.00 Cr,
30-Sep-25,Online Debtors - Sports365 Local,PSB2526/INV-1126,PSB2526/INV-1126,Being Booked Local B2C Sales for the month of Sep'25 (22 to 30),,,,64062.00 Dr,,,0.25 Cr,310.10 Cr,310.10 Cr,,,,,,1428.48 Cr,1428.48 Cr,,,160.00 Cr,,57139.00 Cr,,3285.59 Cr,,
30-Sep-25,Online Debtors - Sports365,PSB2526/INV-1127,PSB2526/INV-1127,Being Booked Interstate Online B2C Sales for the month of Sep'25 (22 to 30),,,,21917.00 Dr,,962.65 Cr,0.21 Dr,,,,,,259.56 Cr,,,,,,,195.00 Cr,,19253.00 Cr,,1247.00 Cr,
,Grand Total,,,,,,12308661.36,13598532.00 Dr,12308661.36 Cr,544445.15 Cr,2.78 Cr,21208.46 Cr,21208.46 Cr,67174.76 Cr,10890.69 Cr,10890.69 Cr,43064.82 Cr,107.14 Cr,18441.52 Cr,18441.52 Cr,2142.85 Cr,535.71 Cr,96159.00 Cr,49183.00 Cr,288351.00 Cr,73405.00 Cr,20209.09 Cr,4009.00 Cr,
