Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output CGST @ 9%,Output SGST @ 9%,Round Off,Output CGST @ 2.5%,Output SGST @ 2.5%,Output CGST @ 6%,Output SGST @ 6%,Input CGST @ 2.5%,Input SGST @ 2.5%,Output IGST @ 18%,Output IGST @ 5%,Output IGST @ 12%,Input IGST @ 12%,Input IGST @ 18%,Shipping Interstate GST @ 18%,Local GST Sales @ 5%,Local GST Sales @ 12%,Local GST Sales @ 18%,Interstate GST Sales @ 5%,Interstate GST Sales @ 12%,Interstate GST Sales @ 18%
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,9 Pr,1482.20/Pr,13339.80,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,25 Pr,1482.20/Pr,37055.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,27 Pr,1600.85/Pr,43222.95,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,29 Pr,1600.85/Pr,46424.65,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,13 Pr,1600.85/Pr,20811.05,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,15 Pr,1600.85/Pr,24012.75,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,6 Pr,1600.85/Pr,9605.10,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - Black,,,,10 Pr,1600.85/Pr,16008.50,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - Black,,,,1 Pr,1600.85/Pr,1600.85,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 UK) - Black,,,,1 Pr,1600.85/Pr,1600.85,,,,,,,,,,,,,,,,,,,,,,,
,Laces,,,,4 Pr,89.29/Pr,357.16,,,,,,,,,,,,,,,,,,,,,,,
01-Jun-25,Valistus International School,PSB25-26/INV-461,PSB25-26/INV-461,Being Sale of Goods - Accounted,184 Pr,,300251.12,354296.00 Dr,300251.12 Cr,27022.59 Cr,27022.59 Cr,0.30 Dr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 C) - Black,,,,3 Pr,1600.85/Pr,4802.55,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 C) - Black,,,,3 Pr,1600.85/Pr,4802.55,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 C) - Black,,,,12 Pr,1600.85/Pr,19210.20,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 12 C) - Black,,,,13 Pr,1600.85/Pr,20811.05,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 C) - Black,,,,13 Pr,1600.85/Pr,20811.05,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 01 Y) - Black,,,,19 Pr,1600.85/Pr,30416.15,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 02 Y) - Black,,,,22 Pr,1600.85/Pr,35218.70,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - Black,,,,16 Pr,1600.85/Pr,25613.60,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 04 Y) - Black,,,,21 Pr,1600.85/Pr,33617.85,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 05 Y) - Black,,,,17 Pr,1600.85/Pr,27214.45,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 06 Y) - Black,,,,13 Pr,1600.85/Pr,20811.05,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - Black,,,,9 Pr,1778.81/Pr,16009.29,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 08 US) - Black,,,,9 Pr,1778.81/Pr,16009.29,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 US) - Black,,,,7 Pr,1778.81/Pr,12451.67,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 US) - Black,,,,5 Pr,1778.81/Pr,8894.05,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 US) - Black,,,,2 Pr,1778.81/Pr,3557.62,,,,,,,,,,,,,,,,,,,,,,,
01-Jun-25,ST. JOHNS INTERNATIONAL SCHOOL,PSB25-26/INV-462,PSB25-26/INV-462,Being Sale of Goods - Accounted,,,163585.14,179125.00 Dr,163585.14 Cr,5095.98 Cr,5095.98 Cr,0.26 Dr,,,,,2674.08 Cr,2674.08 Cr,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 C) - Black,,,,2 Pr,1270.34/Pr,2540.68,,,,,,,,,,,,,,,,,,,,,,,
