Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output CGST @ 9%,Output SGST @ 9%,Round Off,Output CGST @ 2.5%,Output SGST @ 2.5%,Output CGST @ 6%,Output SGST @ 6%,Input CGST @ 2.5%,Input SGST @ 2.5%,Output IGST @ 18%,Output IGST @ 5%,Output IGST @ 12%,Input IGST @ 12%,Input IGST @ 18%,Shipping Interstate GST @ 18%,Local GST Sales @ 5%,Local GST Sales @ 12%,Local GST Sales @ 18%,Interstate GST Sales @ 5%,Interstate GST Sales @ 12%,Interstate GST Sales @ 18%
,Plaeto Nova School Shoes (Size 04 UK) - White,,,,14 Pr,1125.00/Pr,15750.00,,,,,,,,,,,,,,,,,,,,,,,
17-Jun-25,"Bodhivriksha Educational Society.,",PSB25-26/INV-614,PSB25-26/INV-614,Being Sale of Goods - Accounted,12 Pr,,8792.00,9847.00 Dr,8792.00 Cr,,,0.04 Dr,,,,,,,,,1055.04 Cr,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,11 Pr,714.00/Pr,7854.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,1 Pr,938.00/Pr,938.00,,,,,,,,,,,,,,,,,,,,,,,
17-Jun-25,SAI ANUGRAHA TRADERS,PSB25-26/INV-615,PSB25-26/INV-615,Being Sale of Goods - Accounted,33 Pr,,23133.00,25909.00 Dr,23133.00 Cr,,,0.04 Cr,,,,,,,,,2775.96 Cr,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,2 Pr,701.00/Pr,1402.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,10 Pr,701.00/Pr,7010.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,21 Pr,701.00/Pr,14721.00,,,,,,,,,,,,,,,,,,,,,,,
17-Jun-25,VICTORY EDUCORP SOLUTIONS PVT LTD,PSB25-26/INV-616,PSB25-26/INV-616,Being Sale of Goods - Accounted,96 Pr,,71040.00,79565.00 Dr,71040.00 Cr,,,0.20 Cr,,,,,,,,,8524.80 Cr,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 C) - Black,,,,12 Pr,740.00/Pr,8880.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 C) - Black,,,,12 Pr,740.00/Pr,8880.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 C) - Black,,,,24 Pr,740.00/Pr,17760.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,12 Pr,740.00/Pr,8880.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,12 Pr,740.00/Pr,8880.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,24 Pr,740.00/Pr,17760.00,,,,,,,,,,,,,,,,,,,,,,,
17-Jun-25,Radcliffe Education Pvt Ltd (M),PSB25-26/INV-617,PSB25-26/INV-617,Being Sale of Goods - Accounted,3 Pr,,2134.81,2391.00 Dr,2134.81 Cr,,,,,,,,,,,,256.19 Cr,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,1 Pr,813.39/Pr,813.39,,,,,,,,,,,,,,,,,,,,,,,
17-Jun-25,D S APPARELS,PSB25-26/INV-618,PSB25-26/INV-618,Being Sale of Goods - Accounted,14 Pr,,9951.84,11146.00 Dr,9951.84 Cr,,,0.06 Dr,,,597.11 Cr,597.11 Cr,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 C) - Black,,,,3 Pr,695.54/Pr,2086.62,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,10 Pr,695.54/Pr,6955.40,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 UK) - Black,,,,1 Pr,909.82/Pr,909.82,,,,,,,,,,,,,,,,,,,,,,,
17-Jun-25,R M SURESH & CO,PSB25-26/INV-619,PSB25-26/INV-619,Being Sale of Goods - Accounted,60 Pr,,44960.00,50355.00 Dr,44960.00 Cr,,,0.20 Dr,,,2697.60 Cr,2697.60 Cr,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,23 Pr,714.50/Pr,16433.50,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,26 Pr,714.50/Pr,18577.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,6 Pr,879.50/Pr,5277.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 UK) - Black,,,,1 Pr,934.50/Pr,934.50,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 UK) - Black,,,,4 Pr,934.50/Pr,3738.00,,,,,,,,,,,,,,,,,,,,,,,
17-Jun-25,R M SURESH & CO,PSB25-26/INV-620,PSB25-26/INV-620,Being Sale of Goods - Accounted,100 Pr,,6700.00,7035.00 Dr,6700.00 Cr,,,,167.50 Cr,167.50 Cr,,,,,,,,,,,,,,,,
,VPS Black Crew Length Socks (P/1) - S,,,,100 Pr,67.00/Pr,6700.00,,,,,,,,,,,,,,,,,,,,,,,
17-Jun-25,Samskruti The School Of Tomorrow,PSB25-26/INV-621,PSB25-26/INV-621,Being Sale of Goods - Accounted,35 Pr,,30593.84,34265.00 Dr,30593.84 Cr,,,0.07 Dr,,,,,,,,,3671.23 Cr,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 C) - Black,,,,1 Pr,758.04/Pr,758.04,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,3 Pr,758.04/Pr,2274.12,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,5 Pr,758.04/Pr,3790.20,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,5 Pr,758.04/Pr,3790.20,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,6 Pr,927.68/Pr,5566.08,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,2 Pr,927.68/Pr,1855.36,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,2 Pr,927.68/Pr,1855.36,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,3 Pr,927.68/Pr,2783.04,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,4 Pr,990.18/Pr,3960.72,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,2 Pr,990.18/Pr,1980.36,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,2 Pr,990.18/Pr,1980.36,,,,,,,,,,,,,,,,,,,,,,,
17-Jun-25,HITESH CREATIONS (J P NAGAR),PSB25-26/INV-622,PSB25-26/INV-622,Being Sale of Goods - Accounted,45 Pr,,38430.00,43042.00 Dr,38430.00 Cr,,,0.40 Cr,,,2305.80 Cr,2305.80 Cr,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,5 Pr,740.00/Pr,3700.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,10 Pr,740.00/Pr,7400.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - White,,,,10 Pr,911.00/Pr,9110.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - White,,,,5 Pr,911.00/Pr,4555.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - White,,,,10 Pr,911.00/Pr,9110.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - White,,,,5 Pr,911.00/Pr,4555.00,,,,,,,,,,,,,,,,,,,,,,,
17-Jun-25,Unipro (S),PSB25-26/INV-623,PSB25-26/INV-623,Being Sale of Goods - Accounted,10 Pr,,12150.00,14337.00 Dr,12150.00 Cr,1093.50 Cr,1093.50 Cr,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 C) - Black,,,,5 Pr,1215.00/Pr,6075.00,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 C) - White,,,,5 Pr,1215.00/Pr,6075.00,,,,,,,,,,,,,,,,,,,,,,,
17-Jun-25,Sunshine Enterprises,PSB25-26/INV-624,PSB25-26/INV-624,Being Sale of Goods - Accounted,122 Pr,,97510.00,109211.00 Dr,97510.00 Cr,,,0.20 Dr,,,5850.60 Cr,5850.60 Cr,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,13 Pr,701.00/Pr,9113.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,15 Pr,701.00/Pr,10515.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,30 Pr,701.00/Pr,21030.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,17 Pr,863.00/Pr,14671.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,10 Pr,863.00/Pr,8630.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,7 Pr,863.00/Pr,6041.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,7 Pr,917.00/Pr,6419.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,7 Pr,917.00/Pr,6419.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,6 Pr,917.00/Pr,5502.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - Black,,,,4 Pr,917.00/Pr,3668.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 UK) - Black,,,,5 Pr,917.00/Pr,4585.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 UK) - Black,,,,1 Pr,917.00/Pr,917.00,,,,,,,,,,,,,,,,,,,,,,,
18-Jun-25,Deena Uniforms (S),PSB25-26/INV-625,PSB25-26/INV-625,Being Sale of Goods - Accounted,11 Pr,,14688.00,17332.00 Dr,14688.00 Cr,1321.92 Cr,1321.92 Cr,0.16 Cr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 01 Y) - White,,,,2 Pr,1296.00/Pr,2592.00,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - White,,,,2 Pr,1296.00/Pr,2592.00,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 04 Y) - White,,,,2 Pr,1296.00/Pr,2592.00,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 05 Y) - White,,,,2 Pr,1296.00/Pr,2592.00,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 08 US) - White,,,,2 Pr,1440.00/Pr,2880.00,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 US) - White,,,,1 Pr,1440.00/Pr,1440.00,,,,,,,,,,,,,,,,,,,,,,,
18-Jun-25,SAI ANUGRAHA TRADERS,PSB25-26/INV-626,PSB25-26/INV-626,Being Sale of Goods - Accounted,52 Pr,,63180.00,74552.00 Dr,63180.00 Cr,,,0.40 Dr,,,,,,,11372.40 Cr,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,36 Pr,1215.00/Pr,43740.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,16 Pr,1215.00/Pr,19440.00,,,,,,,,,,,,,,,,,,,,,,,
18-Jun-25,ETERNAL TRADING CO,PSB25-26/INV-627,PSB25-26/INV-627,Being Sale of Goods - Accounted,51 Pr,,34425.00,38556.00 Dr,34425.00 Cr,,,,,,,,,,,,4131.00 Cr,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 C) - Black,,,,2 Pr,675.00/Pr,1350.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 C) - Black,,,,6 Pr,675.00/Pr,4050.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,8 Pr,675.00/Pr,5400.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,20 Pr,675.00/Pr,13500.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,15 Pr,675.00/Pr,10125.00,,,,,,,,,,,,,,,,,,,,,,,
18-Jun-25,ETERNAL TRADING CO,PSB25-26/INV-628,PSB25-26/INV-628,Being Sale of Goods - Accounted,572 Pr,,652546.00,765701.00 Dr,652546.00 Cr,,,0.02 Dr,,,,,,,104548.50 Cr,,8606.52 Cr,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,78 Pr,919.50/Pr,71721.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,81 Pr,1149.50/Pr,93109.50,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,110 Pr,1149.50/Pr,126445.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,90 Pr,1149.50/Pr,103455.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,72 Pr,1149.50/Pr,82764.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,36 Pr,1241.50/Pr,44694.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,60 Pr,1241.50/Pr,74490.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,12 Pr,1241.50/Pr,14898.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,29 Pr,1241.50/Pr,36003.50,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - Black,,,,2 Pr,1241.50/Pr,2483.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 UK) - Black,,,,2 Pr,1241.50/Pr,2483.00,,,,,,,,,,,,,,,,,,,,,,,
18-Jun-25,ETERNAL TRADING CO,PSB25-26/INV-629,PSB25-26/INV-629,Being Sale of Goods - Accounted,48 Pr,,48644.00,55524.00 Dr,48644.00 Cr,,,0.14 Dr,,,,,,,,,,3751.56 Cr,3128.58 Cr,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,34 Pr,919.50/Pr,31263.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - Black,,,,14 Pr,1241.50/Pr,17381.00,,,,,,,,,,,,,,,,,,,,,,,
18-Jun-25,Samskruti The School Of Tomorrow,PSB25-26/INV-630,PSB25-26/INV-630,Being Sale of Goods - Accounted,7 Pr,,10595.77,12503.00 Dr,10595.77 Cr,,,0.01 Cr,,,,,,,1907.22 Cr,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 C) - Black,,,,1 Pr,1490.68/Pr,1490.68,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 01 Y) - Black,,,,2 Pr,1490.68/Pr,2981.36,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 02 Y) - Black,,,,1 Pr,1490.68/Pr,1490.68,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 04 Y) - Black,,,,2 Pr,1490.68/Pr,2981.36,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - Black,,,,1 Pr,1651.69/Pr,1651.69,,,,,,,,,,,,,,,,,,,,,,,
18-Jun-25,GoScholar,PSB25-26/INV-632,PSB25-26/INV-632,Being Sale of Goods - Accounted,341 Pr,,413719.00,485829.00 Dr,413719.00 Cr,,,0.28 Dr,,,,,,,67392.00 Cr,,4718.28 Cr,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 C) - Black,,,,4 Pr,959.00/Pr,3836.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Black,,,,4 Pr,959.00/Pr,3836.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,10 Pr,959.00/Pr,9590.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,23 Pr,959.00/Pr,22057.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,46 Pr,1200.00/Pr,55200.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,58 Pr,1200.00/Pr,69600.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,20 Pr,1200.00/Pr,24000.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,26 Pr,1200.00/Pr,31200.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,18 Pr,1296.00/Pr,23328.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,67 Pr,1296.00/Pr,86832.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,25 Pr,1296.00/Pr,32400.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,12 Pr,1296.00/Pr,15552.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,12 Pr,1296.00/Pr,15552.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - Black,,,,8 Pr,1296.00/Pr,10368.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - Black,,,,4 Pr,1296.00/Pr,5184.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 UK) - Black,,,,4 Pr,1296.00/Pr,5184.00,,,,,,,,,,,,,,,,,,,,,,,
18-Jun-25,SAI ANUGRAHA TRADERS,PSB25-26/INV-631,PSB25-26/INV-631,Being Sale of Goods - Accounted,84 Pr,,91800.00,107568.00 Dr,91800.00 Cr,,,,,,,,,,14256.00 Cr,,1512.00 Cr,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,14 Pr,900.00/Pr,12600.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,15 Pr,1125.00/Pr,16875.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,15 Pr,1125.00/Pr,16875.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,23 Pr,1125.00/Pr,25875.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,12 Pr,1125.00/Pr,13500.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,5 Pr,1215.00/Pr,6075.00,,,,,,,,,,,,,,,,,,,,,,,
18-Jun-25,SAI ANUGRAHA TRADERS,PSB25-26/INV-633,PSB25-26/INV-633,Being Sale of Goods - Accounted,27 Pr,,24300.00,27216.00 Dr,24300.00 Cr,,,,,,,,,,,,2916.00 Cr,,,,,,,,,
,Plaeto Nova School Shoes (Size 08C) - Black,,,,7 Pr,900.00/Pr,6300.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09C) - Black,,,,6 Pr,900.00/Pr,5400.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 C) - Black,,,,6 Pr,900.00/Pr,5400.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Black,,,,6 Pr,900.00/Pr,5400.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,2 Pr,900.00/Pr,1800.00,,,,,,,,,,,,,,,,,,,,,,,
18-Jun-25,Pallavi International School,PSB25-26/INV-634,PSB25-26/INV-634,Being Sale of Goods - Accounted,1 Pr,,1.00,1.00 Dr,1.00 Cr,,,0.12 Dr,,,,,,,,,0.12 Cr,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - Black,,,,1 Pr,1.00/Pr,1.00,,,,,,,,,,,,,,,,,,,,,,,
19-Jun-25,RAKHRA THE SPORTS HOUSE,PSB25-26/INV-635,PSB25-26/INV-635,Being Sale of Goods - Accounted,1 Pr,,1349.50,1592.00 Dr,1349.50 Cr,121.46 Cr,121.46 Cr,0.42 Dr,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,1 Pr,1349.50/Pr,1349.50,,,,,,,,,,,,,,,,,,,,,,,
19-Jun-25,HITESH CREATIONS (J P NAGAR),PSB25-26/INV-636,PSB25-26/INV-636,Being Sale of Goods - Accounted,10 Pr,,7400.00,8288.00 Dr,7400.00 Cr,,,,,,444.00 Cr,444.00 Cr,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,10 Pr,740.00/Pr,7400.00,,,,,,,,,,,,,,,,,,,,,,,
19-Jun-25,HITESH CREATIONS (J P NAGAR),PSB25-26/INV-637,PSB25-26/INV-637,Being Sale of Goods - Accounted,7 Pr,,9072.00,10705.00 Dr,9072.00 Cr,816.48 Cr,816.48 Cr,0.04 Cr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 05 Y) - White,,,,2 Pr,1296.00/Pr,2592.00,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 06 Y) - White,,,,5 Pr,1296.00/Pr,6480.00,,,,,,,,,,,,,,,,,,,,,,,
19-Jun-25,SAI ANUGRAHA TRADERS,PSB25-26/INV-638,PSB25-26/INV-638,Being Sale of Goods - Accounted,28 Pr,,31995.00,37484.00 Dr,31995.00 Cr,,,0.10 Dr,,,,,,,4949.10 Cr,,540.00 Cr,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,5 Pr,900.00/Pr,4500.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,5 Pr,1125.00/Pr,5625.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,12 Pr,1215.00/Pr,14580.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - Black,,,,3 Pr,1215.00/Pr,3645.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 UK) - Black,,,,3 Pr,1215.00/Pr,3645.00,,,,,,,,,,,,,,,,,,,,,,,
19-Jun-25,SAI ANUGRAHA TRADERS,PSB25-26/INV-639,PSB25-26/INV-639,Being Sale of Goods - Accounted,13 Pr,,14850.00,17361.00 Dr,14850.00 Cr,,,,,,,,,,2187.00 Cr,,324.00 Cr,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,3 Pr,900.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,10 Pr,1215.00/Pr,12150.00,,,,,,,,,,,,,,,,,,,,,,,
19-Jun-25,SAI ANUGRAHA TRADERS,PSB25-26/INV-640,PSB25-26/INV-640,Being Sale of Goods - Accounted,48 Pr,,53730.00,62969.00 Dr,53730.00 Cr,,,0.40 Dr,,,,,,,8375.40 Cr,,864.00 Cr,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,8 Pr,900.00/Pr,7200.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,10 Pr,1125.00/Pr,11250.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,6 Pr,1125.00/Pr,6750.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,7 Pr,1125.00/Pr,7875.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,6 Pr,1215.00/Pr,7290.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - Black,,,,10 Pr,1215.00/Pr,12150.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 UK) - Black,,,,1 Pr,1215.00/Pr,1215.00,,,,,,,,,,,,,,,,,,,,,,,
19-Jun-25,SAI ANUGRAHA TRADERS,PSB25-26/INV-641,PSB25-26/INV-641,Being Sale of Goods - Accounted,25 Pr,,30375.00,35843.00 Dr,30375.00 Cr,,,0.50 Cr,,,,,,,5467.50 Cr,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,15 Pr,1215.00/Pr,18225.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - Black,,,,10 Pr,1215.00/Pr,12150.00,,,,,,,,,,,,,,,,,,,,,,,
19-Jun-25,SAI ANUGRAHA TRADERS,PSB25-26/INV-642,PSB25-26/INV-642,Being Sale of Goods - Accounted,30 Pr,,35370.00,41737.00 Dr,35370.00 Cr,,,0.40 Cr,,,,,,,6366.60 Cr,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,3 Pr,1125.00/Pr,3375.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,3 Pr,1125.00/Pr,3375.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,3 Pr,1125.00/Pr,3375.00,,,,,,,,,,,,,,,,,,,,,,,
